Date,Open,High,Low,Last,Volume,Turnover
2019-05-31,95.72,95.94,93.24,94.02,1183029.0,111520193.38
2019-05-30,96.14,96.92,95.84,96.9,344152.0,33267121.78
2019-05-29,96.72,97.12,95.6,96.18,550287.0,52978628.6
2019-05-28,97.82,97.92,97.0,97.36,585075.0,56950355.54
2019-05-27,98.06,98.34,97.84,98.02,180068.0,17659755.86
2019-05-24,96.68,97.86,96.6,97.82,667250.0,65108244.88
2019-05-23,97.16,97.5,96.0,96.62,541090.0,52332323.18
2019-05-22,96.54,97.38,96.32,97.38,412845.0,40096485.92
2019-05-21,97.18,97.64,96.28,96.94,584518.0,56722481.12
2019-05-20,97.26,97.32,96.12,96.92,564496.0,54602150.0
2019-05-17,97.74,97.94,97.14,97.38,435415.0,42423931.82
2019-05-16,97.06,98.14,96.58,98.14,623412.0,60791979.54
2019-05-15,96.58,96.98,95.54,96.98,645396.0,62322306.64
2019-05-14,95.3,96.5,94.96,96.5,636084.0,61084991.1
2019-05-13,95.86,96.24,94.4,94.72,498351.0,47318239.7
2019-05-10,95.44,95.96,95.14,95.9,526972.0,50453202.8
2019-05-09,95.76,96.1,95.02,95.16,464881.0,44356170.72
2019-05-08,95.52,96.3,94.9,96.28,651532.0,62571438.24
2019-05-07,96.02,96.96,95.42,95.68,618329.0,59330305.04
2019-05-06,95.52,96.44,95.12,96.28,264149.0,25318384.48
2019-05-03,96.02,97.0,95.98,96.42,366663.0,35406679.44
2019-05-02,99.8,99.8,96.1,96.3,760214.0,73639727.16
2019-04-30,95.78,96.44,95.5,96.24,481433.0,46250824.14
2019-04-29,96.2,96.2,94.86,95.74,434007.0,41456869.34
2019-04-26,95.22,96.9,95.22,96.3,761344.0,73276931.38
2019-04-25,95.74,95.84,94.62,95.52,477412.0,45535596.3
2019-04-24,96.0,96.02,94.32,95.06,759638.0,72292360.52
2019-04-23,94.02,95.7,93.76,95.54,703687.0,66918320.48
2019-04-18,94.08,94.94,93.8,94.18,493703.0,46513757.84
2019-04-17,93.76,94.18,92.52,94.18,1000345.0,93810905.32
2019-04-16,94.6,94.94,93.72,93.72,399439.0,37509394.76
2019-04-15,94.4,94.7,93.88,94.5,352838.0,33330483.64
2019-04-12,94.02,94.8,93.08,94.06,746659.0,70041547.62
2019-04-11,95.0,95.2,94.34,94.34,465330.0,44004560.94
2019-04-10,94.54,94.88,94.4,94.7,641408.0,60696188.1
2019-04-09,94.6,95.18,94.48,94.5,505983.0,47915158.22
2019-04-08,94.8,95.44,94.4,94.86,468941.0,44474419.48
2019-04-05,95.0,95.28,94.8,94.92,481565.0,45740086.1
2019-04-04,94.1,95.58,94.1,95.24,543653.0,51755532.0
2019-04-03,94.78,94.82,93.5,94.64,711339.0,67101750.04
2019-04-02,93.76,94.68,92.72,94.68,538614.0,50828914.6
2019-04-01,94.68,94.68,93.22,93.34,551753.0,51735724.02
2019-03-29,94.08,94.4,93.66,94.08,511521.0,48098560.96
2019-03-28,93.66,94.42,93.44,93.94,443623.0,41712616.4
2019-03-27,93.88,93.94,92.96,93.42,586381.0,54746401.8
2019-03-26,92.78,93.62,92.24,93.6,566212.0,52856122.06
2019-03-25,92.18,92.78,92.02,92.46,476773.0,44043742.8
2019-03-22,93.74,93.74,92.74,92.74,806015.0,75018416.46
2019-03-21,92.46,93.3,92.32,93.3,575710.0,48992912.96
2019-03-20,92.86,93.22,92.48,92.56,625675.0,44893356.78
